label,index,alpha,mean,std,rel_norm
Label 7,0,3.0,1.242069433965674,0.059944060488536705,0.5291207847100071
Label 7,0,4.0,1.3122153905852616,0.051974295133087045,0.572675574342501
Label 7,10,0.1,0.031854521507145635,0.106450328741241,0.01373637690490804
Label 7,10,0.5,0.09180394599234927,0.10589581964447066,0.06670090811346009
Label 7,10,0.75,0.14310329346403,0.10529540186533315,0.09817813997984788
Label 7,10,1.0,0.20654103613466257,0.10443639395256892,0.12863544967227591
Label 7,10,1.5,0.3709346212487355,0.10136907550162554,0.18683811047228027
Label 7,10,2.0,0.5779382289733387,0.0953878178518289,0.24233781696481269
Label 7,10,2.5,0.8037659991050983,0.08552458798640228,0.2960684654493744
Label 7,10,3.0,1.0102950357284983,0.07267142067439963,0.3489917875837274
Label 7,10,4.0,1.224424890723761,0.054673004751752366,0.4547989252847529
Label 7,15,0.1,0.009851838833221958,0.11832744132566744,0.009451210061999128
Label 7,15,0.5,0.011110806935154946,0.11924306572109432,0.04608777240708027
Label 7,15,0.75,0.01171590911469769,0.11960458830928504,0.06822779410556849
Label 7,15,1.0,0.012188967587269124,0.11983113658650073,0.09008381180494679
Label 7,15,1.5,0.012812866976127688,0.12003457337574015,0.13349575509143613
Label 7,15,2.0,0.013138039435220397,0.12008927176110203,0.1770029210903543
Label 7,15,2.5,0.013292353584186546,0.12010114835267172,0.22076890137007701
Label 7,15,3.0,0.013359283280819267,0.12010326655174862,0.2647906174762004
Label 7,15,4.0,0.013395483456198032,0.12010361845594428,0.3534239073886981
Label 7,25,0.1,0.1468673542212099,0.11893428200915412,0.00830809461703666
Label 7,25,0.5,0.22659677290658048,0.11751404582644273,0.04152636342035548
Label 7,25,0.75,0.2899631330219685,0.11590345804988487,0.06224757994778933
Label 7,25,1.0,0.3634276124628122,0.11344565343976334,0.08291423473505967
Label 7,25,1.5,0.5346270695652316,0.1048179769267151,0.12397019690254601
Label 7,25,2.0,0.7186477444815561,0.08937331225914331,0.16443512879011363
Label 7,25,2.5,0.881961226712879,0.06593465061129485,0.20390465556532836
Label 7,25,3.0,0.9887536633709894,0.03606047173294852,0.2415916641427325
Label 7,25,4.0,1.0151753978301317,0.013298666650502887,0.2673684492304691
Label 7,100,0.1,0.0035800980437701406,0.10435678892189122,0.015053706918890658
Label 7,100,0.5,0.011066747895978703,0.105814663271471,0.07379680638454603
Label 7,100,0.75,0.017772585579252074,0.10730259486839014,0.1083814181622681
Label 7,100,1.0,0.026555557251182173,0.10874819862580629,0.1415650667077967
Label 7,100,1.5,0.05244681395244298,0.11073811252759452,0.20449102473976485
Label 7,100,2.0,0.0940390489764989,0.11136948421150139,0.2639714080624686
Label 7,100,2.5,0.159343118361888,0.11082055981390407,0.32130662061667165
Label 7,100,3.0,0.2594010937966063,0.10890253842317268,0.3791353247289036
Label 7,100,4.0,0.5865422463399298,0.0969917942570521,0.5060648263369159
Label 7,150,0.1,-0.011709270456224318,0.07120959240107455,0.0064663933684716715
Label 7,150,0.5,0.001958459004967909,0.067209792066926,0.0316649614802965
Label 7,150,0.75,0.011958334663713915,0.06876182707691561,0.04544618031512139
Label 7,150,1.0,0.027209561098477282,0.07313110820156869,0.05702703964661749
Label 7,150,1.5,0.08492082807349104,0.08349325033008592,0.07911097839310757
Label 7,150,2.0,0.1933484376162449,0.09149671431727367,0.10366406460965547
Label 7,150,2.5,0.3615664263259564,0.09472163123916158,0.13029977068356471
